,Infected,Recovered,Died,Total
Vadodara,240,437,35,712
Gujarat,6221,4499,659,11379
India,56316,36824,3027,96167
World,2644029,1871778,317215,4833022
USA,1091549,346389,90993,1528931
Russia,217747,70209,2722,290678
Spain,54124,195945,27650,277719
Brazil,133650,94122,16196,243968
Italy,68351,125176,31908,225435
France,90248,61213,28108,179569
Germany,14153,154600,8054,176807
China,82,78238,4634,82954
