,Infected,Recovered,Died,Total
Vadodara,264,311,32,607
Gujarat,5248,2780,513,8541
India,46008,22455,2293,70756
World,2453551,1568253,290946,4312750
USA,1037571,274901,82555,1395027
Spain,62130,180470,26920,269520
Russia,186615,43512,2116,232243
UK,193427,344,32692,226463
Italy,81266,109039,30911,221216
France,93449,57785,26991,178225
Germany,18012,147200,7693,172905
China,115,78171,4633,82919
